,tipo_destino,protocolo,cantidad,probabilidad,informacion
0,UNICAST,2048,8070.0,0.6456,0.6312875162716691
1,BROADCAST,2048,3568.0,0.28544,1.8087405745165068
2,UNICAST,34525,794.0,0.06352,3.976645277293854
3,UNICAST,2054,62.0,0.00496,7.655444164049936
4,BROADCAST,2054,6.0,0.00048,11.024677973715656
